KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
pda_WmuK5,"[c][00ffff][b]Chapter 1: Human Debris[/b][-][/c]\n\nAlone on an unknown world, you stand against an unforgiving and alien world looking for anything that remains of your crew and your fleet among the wreckage.\n\nAre you truly alone?\n\nIDA may have found the answers you seek...",,,,,,,,"[c][00ffff][b]Глава 1: Человеческий мусор[/b][-][/c]\n\nОдин на неизвестной планете, вы стоите против безжалостного и инопланетного мира в поисках любых остатков вашего экипажа и вашего флота среди обломков.\n\nВы действительно одни?\n\nIDA может иметь ответы, которые вы ищете...",,,,,,,,
pda_0YSoK,[c][80ffff]Are you sure you want to abort this mission? Please confirm your choice.[-][/c]\n\nYou can start the mission via PDA (F1) at any time.,,,,,,,,"[c][80ffff]Уверены ли вы что задание прекращивают? Пожалуйста, ясно экраните свой выбор.[-][/c]\n\nМиссию можно запустить через PDA (F1) в любой момент.",,,,,,,,
pda_SmWuC,Receiving Transmission,,,,,,,,Прием передачи,,,,,,,,
pda_mu4K4,[c][4dc3ff]Decrypting...[-][/c],,,,,,,,[c][4dc3ff]Декодирование...[-][/c],,,,,,,,
pda_a0WSS,===,,,,,,,,===,,,,,,,,
pda_qu1Cp,"[c][fafe10][b][ IDA ][/b][-][/c][c][00fbff][-][/c]\n[c][00fbff]I am detecting no thermal or electrical emissions on the ground. But j[-][/c][c][00fbff]udging by the disturbance to the surrounding terrain, I would estimate that the ship impacted the ground at considerable speed.[-][/c]\n[c][00fbff]There may have been survivors, but I am unable to detect the presence of any human heat signatures.[-][/c]",,,,,,,,"[c][fafe10][b][ ИДА ][/b][-][/c][c][00fbff][-][/c]\n[c][00fbff]Я не обнаруживаю тепловых или электрических излучений на земле. Но, судя по возмущению окружающей местности, я бы оценил, что корабль ударился о землю с значительной скоростью.[-][/c]\n[c][00fbff]Могли быть выжившие, но я не могу обнаружить присутствие каких-либо тепловых сигнатур человека.[-][/c]",,,,,,,,
pda_a8mOi,Pelican Down,,,,,,,,Пеликан Даун,,,,,,,,
pda_uuSa4,Locate the crashed ship,,,,,,,,Найти разбитый корабль,,,,,,,,
pda_WSaau,IDA has identified a crashed Pelican-Class Transport that may contain clues about the UCH forces and the current situation.,,,,,,,,"IDA определила разбившийся транспорт класса Pelican, который может содержать подсказки о силах UCH и текущей ситуации.",,,,,,,,
pda_C4qeM,"[c][8ab3ff]Ida, I have eyes on the ship.[-][/c]\n[c][8ab3ff]I recognize the ID number on the hull as The UCH-011 Heidelberg...[-][/c]",,,,,,,,"[c][8ab3ff]Ида, я вижу корабль.[-][/c]
\n[c][8ab3ff]Я узнаю номер идентификации на корпусе как ОСЧ-011 Гейдельберг...[-][/c]",,,,,,,,
pda_4Km0i,Observations,,,,,,,,Наблюдения,,,,,,,,
pda_amqOC,Approach the crashed ship,,,,,,,,Подойдите к разбившемуся кораблю,,,,,,,,
pda_qCGSO,===,,,,,,,,===,,,,,,,,
pda_0SG40,[c][8ab3ff]My god...\nThe ship hit the ground hard enough to split in half. I don't see how anyone could walk away from this alive.[-][/c],,,,,,,,"[c][8ab3ff]Боже мой...\nКорабль ударился о землю с такой силой, что разломился пополам. Я не представляю, как кто-то мог выжить после этого.[-][/c]",,,,,,,,
pda_0GiqG,Appraisal,,,,,,,,Оценка,,,,,,,,
pda_Sraa0,[c][8accff]Questioning Authority[-][/c],,,,,,,,[c][8accff]Вопросы Власти[-][/c],,,,,,,,
pda_YuuiS,===,,,,,,,,===,,,,,,,,
pda_Km4iq,Scavenger Hunt,,,,,,,,Охота за сокровищами,,,,,,,,
pda_G8mS8,Find the energy source,,,,,,,,Найдите источник энергии,,,,,,,,
pda_eSmC4,There's a weak electromagnetic signal being emitted by something near the rear of the Heidelberg.,,,,,,,,"Там есть слабый электромагнитный сигнал, исходящий от чего-то рядом с кормой Хайдельберга.",,,,,,,,
pda_Qa48N,The signal is coming from somewhere inside this container,,,,,,,,Сигнал исходит откуда-то внутри этого контейнера,,,,,,,,
pda_8m2ii,Investigate the source,,,,,,,,Исследуйте источник,,,,,,,,
pda_7IJaW,Access the locking pad on the sealed container,,,,,,,,Доступ к замочному механизму на герметичном контейнере,,,,,,,,
pda_WiuOu,Personal Logs,,,,,,,,Личные Журналы,,,,,,,,
pda_K440q,Sergeant Palant's Personal Logs,,,,,,,,Сержант Палант - Личные Журналы,,,,,,,,
pda_m04aS,"[b][c][fbff00][ IDA ][-][/c][/b] [c][00fbff]These are the decrypted personal log files of Sergeant Palant, Chief Engineer of the UCH-011 Heidelberg[-][/c]\n\n[b]Log Date:[/b] 13.07.2143\n[b]Time:[/b] 1900\n[b]Creator:[/b] Joshua Palant\n[b]Location:[/b] UCH-011 Heidelberg, UCH Expeditionary Fleet, Solar System\n\n[b][/b][Voice to Text]\n[c][bdbdbd]We've just left Jupiter's orbit under steady accel. The generators are purrin' like a kitten and it's looking like I was wrong about the thruster cones.\nIf there's one thing I hate, it's being proven wrong. But in [i]this [/i]case, i'm pleasantly surprised that everything went off without a hitch. Which is more than I can say for [-][/c][c][f2f2f2]Apollo Station[-][/c][c][bdbdbd]...\n\nIt seems that something happened just after we left it and now we've lost all communications with the station. There was some talk among the captains, which of course I ain't privy to, to turn back and help with the rescue. Looks like it's too late though and rescue ships are already on their way, so we're goin' ahead with [-][/c][c][f2f2f2]Operation Phoenix[-][/c][c][bdbdbd] and startin' up the warp cycle to Proxima Centauri.\nHopefully we don't end up the same way as the Hyperion.\n\nPalant out[-][/c]\nEnd transcript\n\n[b][/b][End of Log]\n\n\n[b]Log Date:[/b] 13.07.2143\n[b]Time:[/b] 2021\n[b]Creator:[/b] Joshua Palant\n[b]Location:[/b] UCH-011 Heidelberg, UCH Expeditionary Fleet, Unknown Location\n\n[b][/b][Voice to Text]\n[c][bdbdbd]What the hell is happening around here?!\nIt was only supposed to be a short jaunt to Proxima Centauri, but as soon as the Adonis' Warp Drive spooled up: Boom! The wake hit us like... a brick wall, next thing we know we're getting yanked god-knows-where by the seat of our pants with no way to stop!\nThe Generators are overloaded; we've got a coolant leak somewhere on B-Deck; OUR warp drive, which was only active in a support capacity is outputting high levels of ionizing radiation and I don't think the shielding can take the extra load!\nNow that we're out of warp, we're completely out of position and the rest of the fleet is comparing star charts and measuring crap that's out of my field. All [i]I[/i] know is that my baby is royally screwed, somewhere on the other side of the universe.\n\nPalant Out[-][/c]\nEnd Transcript\n\n[b][ End of Log ][/b]\n\n\n[b]Log Date:[/b] 13.07.2143\n[b]Time:[/b] 2100\n[b]Creator:[/b] Joshua Palant\n[b]Location:[/b] UCH-011 Heidelberg, UCH Expeditionary Fleet, Andromeda Galaxy\n\n[c][bdbdbd]Yep, you read that right: [-][/c][i][c][f2f2f2]Andromeda GALAXY[-][/c][/i][c][bdbdbd]![-][/c]\n[c][bdbdbd]We was s'posed to end up near Proxima Centauri in our OWN galaxy! How in the name of Zeus's [-][/c][i]BUTTHOLE[/i][c][bdbdbd] did we end up on the other side of the [redacted] [-][/c][c][bdbdbd]universe?!\nWe need to turn this tub around and go back the way we came. Ain't no two ways about it. I signed on for a short hop to check out our nearest neighbor, not bugger off on an intergalactic rollercoaster![-][/c]\n[c][bdbdbd]*Sigh*\n\nWe've managed to fix the coolant leak on B-Deck, which solved two problems since the Gennies are cooling back down now that they're getting a full load of coolant.\nThe Rads from the warp drive are only a problem if you're near the warp drive, so i've locked down the warp compartment. No one needs to be in there anyway.\nThe rest of the fleet's got the same problems, but we're all more or less okay for now. We're over a planet it seems, and there's EM signals coming from the planet and orbit nearby. So it seems we're not alone.\nI wonder if it's too late to say ""We come in peace""?\n\nPalant Out[-][/c]\nEnd Transcript\n\n[b][ End of Log ][/b]\n\n\n[b]Log Date:[/b] 13.07.2143\n[b]Time:[/b] 2242\n[b]Creator:[/b] Joshua Palant\n[b]Location:[/b] UCH-011 Heidelberg, Planet Surface, Andromeda Galaxy\n\n[Voice to Text]\n[c][bdbdbd]*Cough* well... It seems I really stepped in it this time.\nAs soon as the impact alarms sounded, we took a hit on the port side of the ship by some kind of plasma weapon from the approaching ships. No warning, no communications, just BANG!\nThe hit fused the coolant pipes and starved the port-side gennies, so I had to hit the emergency shut off button.\n\nThe Heidy ain't built for heavy combat and the plasma and missiles that blew open the starboard thruster sent us into a decaying spin towards the planet. Impact in seven minutes and I was the only one left on this deck, so I had the bright idea to shut myself in one of the cargo containers. I was pretty sure i'd be safe in here... turns out I was right.\nThis is probably the only time I regret being proven right.\n\nSo i'm trapped in this container and can't get out. I'd guess i'm buried under the ship. Whoever you are, you probably already figured that out...\nI guess it's not so bad... I did all I could and this isn't a bad way to go.\nI hope you can someday get my body back home...\n\nSigning off for the last time... Palant Out.[-][/c]\nEnd Transcript\n\n[b][ End of Log ][/b]",,,,,,,,"[b][c][fbff00][ IDA ][-][/c][/b] [c][00fbff]Это расшифрованные личные журналы сержанта Пэллант, главного инженера UCH-011 корабля «Хайдельберг».[-][/c]\n[b]Дата записи:[/b] 25.07.2473\n[b]Время:[/b] 19:00\n[b]Создатель:[/b] Джошуа Пэлант\n[b]Место:[/b] Корабль UCH-011 «Хайдельберг», UCH экспидиционный флот, Солнечная система\n\n[b][/b][Преобразование голоса в текст]\n[c][bdbdbd] Мы только что покинули орбиту Юпитера с устойчивым ускорением. Генераторы мурлычут, как котята, и похоже, что я ошибся насчет тяговых двигателей.[-][/c]\n[c][bdbdbd]Если я что-то и ненавижу, так это когда мне доказывают, что я ошибался. Но в данном случае я приятно удивлен, что все прошло без сучка и задоринки. Чего я не могу сказать о станции Аполлон...[-][/c]\n[c][bdbdbd][-][/c]\n[c][bdbdbd] Видимо, что-то случилось сразу после того, как мы ее покинули, и теперь мы потеряли всякую связь со станцией. Среди офицеров ходили разговоры, в которые я, конечно, не посвящен, о том, чтобы вернуться и помочь со спасением. Впрочем, кажется, уже слишком поздно, спасательные корабли на подходе, так что мы продолжаем операцию «Феникс» и начинаем варп-цикл к Проксиме Центавра.[-][/c]\n[c][bdbdbd]Надеюсь, мы не окажемся на том же пути, что и ""Гиперион"".[-][/c]\n\n[c][bdbdbd]Пэлант закончил[-][/c]\nКонец стенограммы\n\n[b][/b][Конец записи]\n\n\n[b]Дата записи:[/b] 25.07.2473\n[b]Время:[/b] 2021\n[b]Создатель:[/b] Джошуа Пэлант\n[b]Место:[/b] Корабль UCH-011 «Хайдельберг», UCH Экспидиционный флот, Неизвестная локация\n\n[b][/b][Преобразование голоса в текст]\n[c][bdbdbd] Что, черт возьми, здесь происходит?![-][/c]\n[c][bdbdbd]Предполагалось, что это будет лишь короткое путешествие к Проксиме Центавра, но как только варп-двигатель «Титана» включился: Бум! Варп-поле ударило как... стена в гиперпространстве и в следующее мгновение нас понесло бог знает куда, не имея возможности остановиться![-][/c]\n[c][bdbdbd][-][/c]\n[c][bdbdbd] Генераторы перегружены; у нас утечка охлаждающей жидкости где-то на палубе B; Наш варп-двигатель, который был активен только в качестве поддержки, производит высокий уровень ионизирующего излучения, и я не думаю, что защита выдержит дополнительную нагрузку![-][/c]\n[c][bdbdbd][-][/c]\n[c][bdbdbd] Когда мы вышли из гиперпространства, мы полностью потеряли ориентацию, а остальной флот сравнивает звездные карты и измеряет всякую хрень, которая не входит в мою компетенцию. Все, что я знаю, это то, что мой ребенок в полной заднице, где-то на другом конце вселенной.[-][/c]\n[c][bdbdbd]\nПэлант закончил[-][/c]\nКонец стенограммы\n\n[b][ конец записи ][/b]\n\n\n[b]Дата записи:[/b] 25.07.2473\n[b]Время:[/b] 21:00\n[b]Создатель:[/b] Джошуа Пэлант\n[b]Место:[/b] Корабль UCH-011 «Хайдельберг», UCH экспедиционный флот, Галактика Андромеды\n[c][bdbdbd] Да, вы правильно прочли: Галактика Андромеды![-][/c]\n[c][bdbdbd]Мы должны были оказаться рядом с Проксимой Центавра в нашей собственной галактике! Как, во имя Зевса, мы оказались на другой стороне [отредактировано] Вселенной?![-][/c]\n[c][bdbdbd][-][/c]\n[c][bdbdbd] Мы должны развернуть это корыто и вернуться назад. Тут нет двух вариантов. Я подписался на короткую поездку, чтобы проверить нашего ближайшего соседа, а не отправляться на межгалактические американские горки![-][/c]\n[c][bdbdbd]*вздох*[-][/c]\n[c][bdbdbd][-][/c]\n[c][bdbdbd] Нам удалось устранить утечку охлаждающей жидкости на палубе В, что решило сразу две проблемы, так как теперь, получив полную загрузку охлаждающей жидкости, «Джинны» снова охлаждаются. [-][/c][c][bdbdbd]Радиация от варп-двигателя становится проблемой, если вы находитесь рядом с варп-двигателем, поэтому я заблокировал отсек варп. В любом случае, никто не должен там находиться.[-][/c]\n[c][bdbdbd][-][/c]\n[c][bdbdbd] У остального флота те же проблемы, но пока все более-менее в порядке. Сейчас мы над планетой, и есть электромагнитные сигналы с планеты и орбиты поблизости. Так что, похоже, мы не одни. [-][/c][c][bdbdbd]Интересно, не будет ли слишком поздно сказать: ""Мы пришли с миром""?[-][/c]\n[c][bdbdbd]\nПэлант закончил[-][/c]\nКонец стенограммы\n\n[b][ Конец записи ][/b]\n\n\n[b]Дата записи:[/b] 25.07.2473\n[b]Время:[/b] 22:42\n[b]Создатель:[/b] Joshua Пэлант\n[b]Место:[/b] Корабль UCH-011 «Хайдельберг», Поверхность планеты, Галактика Андромеды\n\n[Преобразование голоса в текст]\n[c][bdbdbd]*кашель* ну... Видимо, на этот раз я действительно влип.[-][/c]\n[c][bdbdbd]Как только прозвучал сигнал тревоги, мы получили удар по левому борту корабля каким-то плазменным оружием с приближающихся кораблей. Без предупреждения, без связи, просто Бум![-][/c]\n[c][bdbdbd]От попадания расплавились трубы охлаждающей жидкости и заглохли генераторы левого борта, так что мне пришлось нажать кнопку аварийного отключения.[-][/c]\n[c][bdbdbd][-][/c]\n[c][bdbdbd] Хайди не создан для тяжелых боев и плазма, и ракеты, взорвавшие подруливающее устройство правого борта, отправили нас в затухающее вращение к планете. Столкновение произошло через семь минут, и я был единственным, кто остался на этой палубе, поэтому у меня возникла светлая мысль закрыться в одном из грузовых контейнеров. Я был уверен, что здесь я буду в безопасности... оказалось, что я был прав.[-][/c]\n[c][bdbdbd]Это, наверное, единственный раз, когда я жалею, что оказался прав.[-][/c]\n[c][bdbdbd][-][/c]\n[c][bdbdbd] Итак, я заперт в этом контейнере и не могу выбраться. Полагаю, я погребен под кораблем. Кто бы ты ни был, ты, наверное, уже понял это...[-][/c]\n[c][bdbdbd]Думаю, все не так уж плохо... Я сделал все, что мог, и это не худший способ умереть[-][/c]\n[c][bdbdbd]Надеюсь, когда-нибудь вы сможете вернуть мое тело домой...[-][/c]\n[c][bdbdbd][-][/c]\n[c][bdbdbd]Отписываюсь в последний раз... Пэлант отключился.[-][/c]\nКонец стенограммы\n\n[b][ Конец записи ][/b]",,,,,,,,
