KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
HullThinLarge,Steel Block (Large),,,,,,,,Стальной блок Б,,,,,,,,
HullThinLargeBlocks,Steel Thin Blocks (Large),,,,,,,,Стальные блоки Б (тонкие),,,,,,,,
HullThinLargeDestroyed,Steel Thin Blocks (Large) - Damaged,,,,,,,,Стальные блоки Б (тонкие) - разбитые,,,,,,,,
HullThinSmall,Steel Block (Small),,,,,,,,Блок Стали (Маленький),,,,,,,,
HullThinSmallBlocks,Steel Thin Blocks (Small),,,,,,,,Стальные блоки М (тонкие),,,,,,,,
HullThinSmallDestroyed,Steel Thin Blocks (Small) - Damaged,,,,,,,,Стальной блок М (тонкий) - разбитый,,,,,,,,
TrussLargeBlocks,Truss Blocks (Large),,,,,,,,Блоки стропил Б,,,,,,,,
TrussSmallBlocks,Truss Blocks (Small),,,,,,,,Блоки стропил М,,,,,,,,
WindowArmoredLargeBlocks,Armored Windows (Large),,,,,,,,Прочные окна Б,,,,,,,,
WindowArmoredSmallBlocks,Armored Windows (Small),,,,,,,,Прочные окна М,,,,,,,,
WindowLargeBlocks,Windows (Large),,,,,,,,Окна Б,,,,,,,,
WindowShutterLargeBlocks,Shutter Windows (Large),,,,,,,,Окна с жалюзи Б,,,,,,,,
WindowShutterSmallBlocks,Shutter Windows (Small),,,,,,,,Окна с жалюзи М,,,,,,,,
WindowSmallBlocks,Windows (Small),,,,,,,,Окна М,,,,,,,,
WingBlocks,Wings,,,,,,,,Крылья,,,,,,,,
WoodBlocks,Wooden Blocks,,,,,,,,Деревянные блоки,,,,,,,,
WoodFull,Wooden Block,,,,,,,,Деревянный блок,,,,,,,,
WoodThin,Wooden Thin Block,,,,,,,,Деревянный блок,,,,,,,,
WoodThinBlocks,Wooden Thin Blocks,,,,,,,,Деревянные блоки (тонкие),,,,,,,,
AkuaFernDeco,Fern,,,,,,,,Папоротник,,,,,,,,
AlienPalmTreeDeco,Fire Palm Tree,,,,,,,,Огненная пальма,,,,,,,,
AlienTentacleDeco,Tentacle Tree,,,,,,,,Щупальцевое дерево,,,,,,,,
Antenna,Tri-Beam Antenna,,,,,,,,Антенна 06 (декор),,,,,,,,
Antenna01,Shortwave Transmitter,,,,,,,,Антенна 01 (декор),,,,,,,,
Antenna02,Wideband Receiver,,,,,,,,Антенна 02 (декор),,,,,,,,
Antenna03,Radar Receiver,,,,,,,,Антенна 03 (декор),,,,,,,,
Antenna04,Antenna Spike,,,,,,,,Антенна 04 (декор),,,,,,,,
Antenna05,Radar Tracking Beacon,,,,,,,,Антенна 05 (декор),,,,,,,,
AntennaBlocks,Antennas,,,,,,,,Антенны (декор),,,,,,,,
BathroomCounter,Bathroom Counter,,,,,,,,Ванная,,,,,,,,
Bed,Double Bed,,,,,,,,Кровать 2,,,,,,,,
Bookshelf,Bookshelf,,,,,,,,Книжный шкаф,,,,,,,,
BunkBed,Bunk Bed,,,,,,,,Койко-место,,,,,,,,
CapacitorMS,Large Capacitor,,,,,,,,Конденсатор (декор),,,,,,,,
CapacitorSS,Small Capacitor,,,,,,,,Конденсатор МС (декор),,,,,,,,
ConsoleLargeMS01,Power Regulator Console,,,,,,,,Консоль управления (декор),,,,,,,,
ConsoleLargeMS01a,System Console,,,,,,,,Консоль управления (декор),,,,,,,,
ConsoleLargeMS02,Advanced System Console,,,,,,,,Консоль управления (декор),,,,,,,,
ConsoleMapMS01,Mapping Console,,,,,,,,Консоль управления (декор),,,,,,,,
ConsoleMS01,Computer Terminal,,,,,,,,Консоль управления (декор),,,,,,,,
ConsoleSmallMS01,Access Terminal,,,,,,,,Консоль управления (декор),,,,,,,,
ConsoleSmalNPC,Console (Occupied),,,,,,,,Консоль НИП,,,,,,,,
ControlStation,Control Station,,,,,,,,Станция управления,,,,,,,,
ControlStationNPC,Control Station (Occupied),,,,,,,,Станция Управления НИП,,,,,,,,
DecoBlocks,Furnishings,,,,,,,,Интерьер (декор),,,,,,,,
DecoBlocks2,Tech Equipment,,,,,,,,Техническое оборудование (декор),,,,,,,,
ElderberryBushBlueDeco,Akuaberry Bush,,,,,,,,Акуалиновый куст,,,,,,,,
ElderberryBushDeco,Akuaberry Bush,,,,,,,,Акуалиновый куст,,,,,,,,
FantasyPlant1Deco,Lava Plant,,,,,,,,Лавоцвет,,,,,,,,
GlowTube01Deco,Glow Tube Flower,,,,,,,,Трубосветник,,,,,,,,
HollywoodJuniperDeco,Juniper Bush,,,,,,,,Зеленый куст 1,,,,,,,,
HoloScreen01,Holographic Display,,,,,,,,Голографический экран 01,,,,,,,,
HoloScreen02,Holographic Radiation Display,,,,,,,,Голографический экран 02,,,,,,,,
HoloScreen03,Holographic Radar Display,,,,,,,,Голографический экран 03,,,,,,,,
HoloScreen04,Holographic Terminal,,,,,,,,Голографический экран 04,,,,,,,,
HoloScreen05,Holographic Ship Display,,,,,,,,Голографический экран 05,,,,,,,,
IndoorPlant01,Potted Palm,,,,,,,,Искусственное растение 1,,,,,,,,
IndoorPlant02,Potted Plant,,,,,,,,Искусственное растение 2,,,,,,,,
IndoorPlant03,Potted Plant,,,,,,,,Искусственное растение 3,,,,,,,,
IndoorPlants,Indoor Plants,,,,,,,,Искусственные растения (декор),,,,,,,,
KitchenCounter,Kitchen Counter,,,,,,,,Кухонный стол,,,,,,,,
KitchenTable,Basic Table,,,,,,,,Обеденный стол,,,,,,,,
LabTable1,Specimen Table,,,,,,,,Лабораторный стол 1,,,,,,,,
LabTable2,Lab Desk,,,,,,,,Лабораторный стол 2,,,,,,,,
LabTable3,Lab Table,,,,,,,,Лабораторный стол 3,,,,,,,,
Level4Prop2,Wide Repository,,,,,,,,Хранилище 1,,,,,,,,
Level4Prop3,Small Repository,,,,,,,,Хранилище 2,,,,,,,,
Level4Prop4,Large Repository,,,,,,,,Хранилище 3,,,,,,,,
Level5FreezerOpened,Cryo Chamber,,,,,,,,Криокамера,,,,,,,,
LockerWShelves,Lockers,,,,,,,,Шкафчик,,,,,,,,
OnionFlowerDeco,Mega Onion Flower,,,,,,,,Большой Лукоцвет,,,,,,,,
OperationTableWDrawers,Medical Cabinet,,,,,,,,Операционный стол,,,,,,,,
Props6BoxLarge1,Chilled Cabinet,,,,,,,,Холодильный Шкаф,,,,,,,,
Props6BoxLarge2,Chilled Cabinet,,,,,,,,Холодильный Шкаф,,,,,,,,
Props6BoxMedium1,Cold Box,,,,,,,,Ящик средний,,,,,,,,
ReceptionTable,Reception Table,,,,,,,,Стойка ресепшен,,,,,,,,
ReceptionTableCorner,Reception Table Corner,,,,,,,,Стойка ресепшен угловая,,,,,,,,
ReceptionTableCornerThin,Reception Table Corner - Thin,,,,,,,,Стойка ресепшен угловая - Тонкая,,,,,,,,
ReceptionTableNPC,Reception Table (Occupied),,,,,,,,Стойка ресепшен НИП,,,,,,,,
ReceptionTableThin,Reception Table - Thin,,,,,,,,Стойка ресепшен - Тонкая,,,,,,,,
ScifiBed,Bed,,,,,,,,Кровать,,,,,,,,
ScifiChair,Chair,,,,,,,,Кресло,,,,,,,,
ScifiComputerTable,Computer Table,,,,,,,,Компьютерный стол,,,,,,,,
ScifiContainer1,Industrial Cargo Container,,,,,,,,Промышленный грузовой контейнер,,,,,,,,
ScifiContainer2,Industrial Cargo Box,,,,,,,,Ящик хранения 2,,,,,,,,
ScifiContainerEnergy,Capacitory Relay,,,,,,,,Энергохранилища (декор),,,,,,,,
ScifiContainerPower,Framed Industrial Cargo Container,,,,,,,,Ящик хранения 3,,,,,,,,
ScifiLargeSofa,Bench,,,,,,,,Скамейка,,,,,,,,
ScifiLargeSofaNPC,Bench (Occupied),,,,,,,,Скамейка 2 НИП,,,,,,,,
ScifiMediaCenter,Holographic Data Display,,,,,,,,Мультимедийный центр,,,,,,,,
ScifiNightstand,Small Table,,,,,,,,Столик,,,,,,,,
ScifiPlant,Potted Lily,,,,,,,,Искусственное растение 4,,,,,,,,
ScifiSofa,Padded Bench,,,,,,,,Скамейка 2,,,,,,,,
ScifiSofaNPC,Padded Bench (Occupied),,,,,,,,Скамейка НИП,,,,,,,,
ScifiStorage,Closet,,,,,,,,Стенной шкаф,,,,,,,,
ScifiTable,Table,,,,,,,,Стол,,,,,,,,
ScifiTableNPC,Table (Occupied),,,,,,,,Стол 1 НИП,,,,,,,,
ScifiTableNPC2,Table (Occupied),,,,,,,,Стол 2 НИП,,,,,,,,
ScifiTableNPC3,Table (Occupied),,,,,,,,Стол 3 НИП,,,,,,,,
ScifiTableV2,Meeting Table,,,,,,,,Стол 2,,,,,,,,
ScifiTableV2NPC,Table (Occupied),,,,,,,,Стол 2 НИП,,,,,,,,
Shower,Shower,,,,,,,,Душ,,,,,,,,
SmallTable,Coffee Table,,,,,,,,Маленький стол,,,,,,,,
Sofa,Sofa,,,,,,,,Софа,,,,,,,,
SofaNPC,Sofa (Occupied),,,,,,,,Кровать НИП,,,,,,,,
SolarBlock,Solar Panel Slope,,,,,,,,Наклонная солнечная панель,,,,,,,,
SolarPanel,Solar Panel Plate,,,,,,,,Солнечная панель,,,,,,,,
StandingNPC,Citizen,,,,,,,,Гражданин,,,,,,,,
StandingNPC2,Citizen,,,,,,,,Гражданин,,,,,,,,
TableTV,Plasma Screen TV,,,,,,,,ТВ-панель,,,,,,,,
Tank1,Affixed Tank,,,,,,,,Бак 1,,,,,,,,
Tank2,Fluid Tank,,,,,,,,Бак 2,,,,,,,,
Toilet,Toilet,,,,,,,,Туалет,,,,,,,,
TurretRadar,Radar Dish,,,,,,,,Радар (декор),,,,,,,,
ArmorLocker,Armor Locker,,,,,,,,Шкаф амуниции,,,,,,,,
ArmorLockerSV,Armor Locker (Small),,,,,,,,"Шкаф амуниции (МС, ПС)",,,,,,,,
ATM,ATM,,,,,,,,Банкомат,,,,,,,,
AutoMinerCore,Auto Miner Core,,,,,,,,Ядро Экстрактора,,,,,,,,
AutoMiningDeviceT1,Auto Mining Device (Basic),,,,,,,,Экстрактор (К1),,,,,,,,
AutoMiningDeviceT2,Auto Mining Device (Improved),,,,,,,,Экстрактор (К2),,,,,,,,
AutoMiningDeviceT3,Auto Mining Device (Advanced),,,,,,,,Экстрактор (К3),,,,,,,,
Backpack,Backpack,,,,,,,,Рюкзак,,,,,,,,
CloneChamber,Clone Chamber,,,,,,,,Камера клонирования,,,,,,,,
CockpitBlocksCV,Control Stations,,,,,,,,Кабины БС,,,,,,,,
CockpitBlocksSV,Cockpits,,,,,,,,Кабины,,,,,,,,
CockpitMS01,Cockpit 1,,,,,,,,Кабина 1,,,,,,,,
CockpitMS02,Cockpit 2,,,,,,,,Кабина 2,,,,,,,,
CockpitMS03,Cockpit 3,,,,,,,,Кабина 3,,,,,,,,
CockpitOpen2SV,Cockpit 2 (open),,,,,,,,Кабина 2 (открытая),,,,,,,,
CockpitOpenSV,Cockpit 1 (open),,,,,,,,Кабина 1 (открытая),,,,,,,,
CockpitSV_ShortRange,Cockpit 2,,,,,,,,Кабина 2,,,,,,,,
CockpitSV01,Cockpit 1,,,,,,,,Кабина 1,,,,,,,,
CockpitSV02,Cockpit 3 (Legacy),,,,,,,,Кабина 3 (Наследие),,,,,,,,
CockpitSV02New,Cockpit 3,,,,,,,,Кабина 3,,,,,,,,
CockpitSV03,Cockpit 8 (Legacy),,,,,,,,Кабина 8 (Наследие),,,,,,,,
CockpitSV04,Cockpit 4,,,,,,,,Кабина 4,,,,,,,,
CockpitSV05,Cockpit 5 (Legacy),,,,,,,,Кабина 5 (Наследие),,,,,,,,
CockpitSV05New,Cockpit 5,,,,,,,,Кабина 5,,,,,,,,
CockpitSV06,Cockpit 6,,,,,,,,Кабина 6,,,,,,,,
CockpitSV07,Cockpit 6 (Legacy),,,,,,,,Кабина 6 (Наследие),,,,,,,,
CockpitSV07New,Cockpit 7,,,,,,,,Кабина 7,,,,,,,,
ConsoleBlocks,Consoles (Deco),,,,,,,,Консоли (декор),,,,,,,,
ConstructorT1V2,Large Constructor,,,,,,,,Большой конструктор,,,,,,,,
ConstructorT2,Advanced Constructor,,,,,,,,Расширенный конструктор,,,,,,,,
ContainerAmmoSmall,Small Ammo Box,,,,,,,,Малый боекомплект,,,,,,,,
ContainerBlocks,Cargo Containers,,,,,,,,Ящики хранения ,,,,,,,,
ContainerHarvest,Harvest Containers,,,,,,,,Ящик хранения (добыча ресурсов),,,,,,,,
ContainerMS01,Cargo Box,,,,,,,,Ящик хранения,,,,,,,,
ContainerPersonal,Personal Locker,,,,,,,,Личный ящик хранения ,,,,,,,,
ContainerRandom,Cargo Box (POI),,,,,,,,Ящик хранения (ТИ),,,,,,,,
ContainerUltraRare,[c][70D2FF]Cargo Container (Unique)[-][/c],,,,,,,,Ящик хранения (ТИ) - Очень редкий,,,,,,,,
CorePlayer,Core,,,,,,,,Ядро,,,,,,,,
CorePlayerAdmin,Core (Admin),,,,,,,,Ядро (Админ),,,,,,,,
ElevatorMS,Elevator Block,,,,,,,,Блок лифта,,,,,,,,
EntitySpawner1,NPC Spawner (Pad),,,,,,,,Спаунер НИП (коврик),,,,,,,,
EntitySpawnerBlock,NPC Spawner (Block),,,,,,,,Спаунер НИП (блок),,,,,,,,
EntitySpawnerPlate,NPC Spawner (Plate),,,,,,,,Спаунер НИП (плита),,,,,,,,
EntitySpawnerPlateThin,NPC Spawner (Thin Plate),,,,,,,,Спаунер НИП (тонкая плита),,,,,,,,
ExplosiveBlock,Explosive Block (Self),,,,,,,,Взрывной блок (основной),,,,,,,,
ExplosiveBlock2,Explosive Block (Radius),,,,,,,,Взрывной блок (расширение),,,,,,,,
Flare,Flare,,,,,,,,Маячок,,,,,,,,
FoodProcessorV2,Food Processor,,,,,,,,Кухонный комбайн,,,,,,,,
FridgeSV,Fridge,,,,,,,,Холодильник,,,,,,,,
FuelTankMSLarge,Fuel Tank (Medium),,,,,,,,Топливный бак (К2),,,,,,,,
FuelTankMSLargeT2,Fuel Tank (Large),,,,,,,,Топливный бак (К3),,,,,,,,
FuelTankMSSmall,Fuel Tank (Small),,,,,,,,Топливный бак (К1),,,,,,,,
FuelTankSV,Fuel Tank,,,,,,,,Топливный бак,,,,,,,,
Furnace,Furnace,,,,,,,,Печь,,,,,,,,
GeneratorBA,Basic Large Generator,,,,,,,,Малый генератор,,,,,,,,
GeneratorMS,Improved Large Generator,,,,,,,,Большой генератор (К1),,,,,,,,
GeneratorMST2,Advanced Large Generator,,,,,,,,Большой генератор (К2),,,,,,,,
GeneratorSV,Improved Small Generator,,,,,,,,Генератор,,,,,,,,
GravityGeneratorMS,Gravity Generator,,,,,,,,Генератор гравитации,,,,,,,,
HangarDoorBlocks,Hangar Doors,,,,,,,,Ангарные ворота,,,,,,,,
HoverBooster,Hover Booster,,,,,,,,Усилитель двигателей парения,,,,,,,,
HoverEngineLarge,Large Hover Engine,,,,,,,,Двигатель парения (2х2),,,,,,,,
HoverEngineSmall,Small Hover Engine,,,,,,,,Двигатель парения (1х1),,,,,,,,
LandinggearBlocksCV,Landing Gears,,,,,,,,Посадочные опоры,,,,,,,,
LandinggearBlocksHeavySV,Landing Gears (Heavy),,,,,,,,Посадочные опоры (К2),,,,,,,,
LandinggearBlocksSV,Landing Gears (Light),,,,,,,,Посадочные опоры (К1),,,,,,,,
LandingGearSVRetLargeSingle,Super-Heavy Landing Gear (Retractable),,,,,,,,Супер-тяжелое Шасси с Убирающимся Механизмом,,,,,,,,
LandingGearCVLargeSingle,Industrial Landing Gear,,,,,,,,Промышленное Шасси для Посадки,,,,,,,,
LandingGearCVLargeDouble,Heavy Industrial Landing Gear,,,,,,,,Тяжелое Промышленное Шасси,,,,,,,,
LandingGearCVMegaLarge,Super-Heavy Industrial Landing Gear,,,,,,,,Супер-Тяжелая Промышленная Посадочное Шасси,,,,,,,,
LightPlant01,Hydroponics Lamp,,,,,,,,Лампа для растений,,,,,,,,
LightWork,Portable Work Light,,,,,,,,Портативный рабочий свет,,,,,,,,
LightWork02,Portable Work Light,,,,,,,,Портативный рабочий свет,,,,,,,,
MotionSensor,Motion Sensor,,,,,,,,Сенсор движения,,,,,,,,
OfflineProtector,Offline Protection,,,,,,,,Офлайновая защита,,,,,,,,
OxygenBottleSmall,Oxygen Canister,,,,,,,,Малый кислородный баллон,,,,,,,,
OxygenBottleLarge,Oxygen Bottle,,,,,,,,Киcлородный Баллон,,,,,,,,
OxygenGenerator,Oxygen Extractor,,,,,,,,Генератор кислорода,,,,,,,,
OxygenHydrogenGenerator,Hydrogen Extractor,,,,,,,,Генератор водорода,,,,,,,,
OxygenStation,Oxygen Station (Large),,,,,,,,Кислородная станция,,,,,,,,
OxygenStationSS,Oxygen Station (Small),,,,,,,,Станция Кислорода (Малая),,,,,,,,
OxygenStationSV,Oxygen Station (Small),,,,,,,,Станция Кислорода (Малая),,,,,,,,
OxygenTankMS,Large Oxygen Tank,,,,,,,,Большой кислородный бак,,,,,,,,
OxygenTankSmallMS,Small Oxygen Tank,,,,,,,,Малый кислородный бак,,,,,,,,
OxygenTankSV,Oxygen Tank (HV/SV),,,,,,,,Кислородный бак,,,,,,,,
PassengerSeat2SV,Passenger Seat,,,,,,,,Пассажирское сиденье (открытое),,,,,,,,
PassengerSeatMS,Passenger Seat,,,,,,,,Пассажирское сиденье,,,,,,,,
PassengerSeatSV,Passenger Compartment,,,,,,,,Пассажирское сиденье (закрытое),,,,,,,,
Portal,Portal,,,,,,,,Портал,,,,,,,,
RampBlocks,Ramps,,,,,,,,Пандусы,,,,,,,,
RCSBlockGV,Small RCS (Hover),,,,,,,,РСУ,,,,,,,,
RCSBlockMS,Large RCS,,,,,,,,РСУ,,,,,,,,
RCSBlockMS_T2,Advanced RCS,,,,,,,,РСУ (К2),,,,,,,,
RCSBlockSV,Small RCS (SV),,,,,,,,РСУ,,,,,,,,
RepairBayBA,Static Repair Bay,,,,,,,,Ремонтный отсек,,,,,,,,
RepairBayCV,Mobile Repair Bay,,,,,,,,Ремонтный отсек,,,,,,,,
RepairStation,Repair Station,,,,,,,,Ремонтная Станция,,,,,,,,
SensorTriggerBlocks,Sensors and Signals,,,,,,,,Сенсоры и Cигналки,,,,,,,,
SpotlightBlocks,Spotlights,,,,,,,,Прожекторы,,,,,,,,
ThrusterGVDirectional,Small Ion Thruster (HV),,,,,,,,Двигатель М,,,,,,,,
ThrusterGVRoundArmored,Enclosed Medium Ion Thruster,,,,,,,,Обшитый Средний Ионный Двигатель,,,,,,,,
ThrusterGVRoundBlocks,Medium Ion Thrusters (HV),,,,,,,,Двигатели С,,,,,,,,
ThrusterGVRoundNormal,Medium Ion Thruster,,,,,,,,Двигатель стандартный С,,,,,,,,
ThrusterGVRoundSlant,Sloped Medium Ion Thruster,,,,,,,,Наклонный Средний Ионный Двигатель,,,,,,,,
ThrusterJetRound1x3x1,Small Ion Jet Thruster (SV),,,,,,,,Прямоточный двигатель М (1х3х1),,,,,,,,
ThrusterJetRound2x5x2,Medium Ion Jet Thruster (SV),,,,,,,,Прямоточный двигатель С (2х5х2),,,,,,,,
ThrusterJetRound3x10x3,Improved Ion Jet Thruster (SV),,,,,,,,Прямоточный двигатель ОБ (3х10х3),,,,,,,,
ThrusterJetRound3x13x3,Advanced Ion Jet Thruster (SV),,,,,,,,Прямоточный двигатель ООБ (3х13х3),,,,,,,,
ThrusterJetRound3x7x3,Large Ion Jet Thruster (SV),,,,,,,,Прямоточный двигатель Б (3х7х3),,,,,,,,
ThrusterMSDirectional,Small Ion Thruster (CV),,,,,,,,Двигатель М,,,,,,,,
ThrusterMSRound2x2Blocks,Advanced Ion Thrusters (CV),,,,,,,,Двигатели Б,,,,,,,,
ThrusterMSRound3x3Blocks,Ion Drive Thrusters (CV),,,,,,,,Двигатели ОБ,,,,,,,,
ThrusterMSRoundArmored,Enclosed Medium Ion Thruster,,,,,,,,Обшитый Средний Ионный Двигатель,,,,,,,,
ThrusterMSRoundArmored2x2,Enclosed Advanced Ion Thruster,,,,,,,,Двигатель обшитый Б,,,,,,,,
ThrusterMSRoundArmored3x3,Enclosed Ion Drive Thruster,,,,,,,,Двигатель обшитый ОБ,,,,,,,,
ThrusterMSRoundBlocks,Medium Ion Thrusters (CV),,,,,,,,Двигатели С,,,,,,,,
ThrusterMSRoundNormal,Medium Ion Thruster,,,,,,,,Двигатель стандартный С,,,,,,,,
ThrusterMSRoundNormal2x2,Advanced Ion Thruster,,,,,,,,Двигатель стандартный Б,,,,,,,,
ThrusterMSRoundNormal3x3,Ion Drive Thruster,,,,,,,,Двигатель стандартный ОБ,,,,,,,,
ThrusterMSRoundSlant,Sloped Medium Ion Thruster,,,,,,,,Наклонный Средний Ионный Двигатель,,,,,,,,
ThrusterMSRoundSlant2x2,Sloped Advanced Ion Thruster,,,,,,,,Двигатель с наклонной защитой Б,,,,,,,,
ThrusterMSRoundSlant3x3,Sloped Ion Drive Thruster,,,,,,,,Двигатель с наклонной защитой ОБ,,,,,,,,
ThrusterSVDirectional,Small Ion Thruster (SV),,,,,,,,Двигатель М,,,,,,,,
ThrusterSVRoundArmored,Enclosed Medium Ion Thruster,,,,,,,,Обшитый Средний Ионный Двигатель,,,,,,,,
ThrusterSVRoundAtmo,Medium Ion Thruster,,,,,,,,Двигатель длинный С,,,,,,,,
ThrusterSVRoundBlocks,Medium Ion Thrusters (SV),,,,,,,,Двигатели С,,,,,,,,
ThrusterSVRoundNormal,Medium Ion Thruster,,,,,,,,Двигатель стандартный С,,,,,,,,
ThrusterSVRoundSlant,Sloped Medium Ion Thruster,,,,,,,,Наклонный Средний Ионный Двигатель,,,,,,,,
TraderNPC,Merchant,,,,,,,,Торговец,,,,,,,,
TradingStation,Trading Station,,,,,,,,Торговая станция,,,,,,,,
TrapDoor,Trap Door (single use),,,,,,,,Дверь-ловушка (одноразовая),,,,,,,,
TrapDoorAnim,Trap Door (multiple use),,,,,,,,Дверь-ловушка (многоразовая),,,,,,,,
WarpDrive,Warp Drive,,,,,,,,Варп двигатель,,,,,,,,
WaterGenerator,Water Extractor,,,,,,,,Генератор воды,,,,,,,,
bkiAdrenalineShot,"A standard Adrenaline Injector typically used to treat allergic reactions, some toxins and in some cases to restart the heart in the event of cardiac arrest.\n[c][00FF00]Will treat poisoning, but not instantly. The Status bar will turn GREEN if treated.\n\n[c][FFFFFF]Use from the toolbar with LMB or from Inventory with Shift+RMB[-][/c]",,,,,,,,Восстанавливает выносливость в течение 100 секунд. Используйте при помощи ЛКМ с панели инструментов или из инвентаря при помощи Shift+ПКМ.,,,,,,,,
bkiAlienBlock,"This block / device is alien. By placing it, you will not be able to spawn your structure in a Survival game.",,,,,,,,"Это блок или устройство инопланетян. Установив его, вы не сможете использовать чертеж этой структуры в режиме выживания.",,,,,,,,
